requisition_id,department,role_type,region,stage,application_date,days_in_stage,hire_date,status
REQ-2343,Grid Operations,Engineer,Noord,Interviewed,2026-03-26,13,,Open
REQ-2344,Customer Services,Project Lead,West,Screened,2026-04-01,6,,Open
REQ-2345,IT & Digital,Engineer,Zuid,Applications,2026-03-30,4,,Open
REQ-2346,HR,Engineer,Oost,Screened,2026-01-11,17,,Open
REQ-2347,Grid Operations,Engineer,Centraal,Applications,2026-03-08,25,,Open
REQ-2348,IT & Digital,Project Lead,West,Screened,2025-11-29,3,,Open
REQ-2349,Finance,Field Technician,Oost,Screened,2026-03-01,13,,Open
REQ-2350,Finance,Project Lead,Oost,Screened,2025-11-17,24,,Open
REQ-2351,IT & Digital,Project Lead,Centraal,Applications,2025-11-26,23,,Open
REQ-2352,Customer Services,Manager,Centraal,Screened,2025-11-11,25,,Open
REQ-2353,HR,Field Technician,Noord,Applications,2026-01-17,23,,Open
REQ-2354,Grid Operations,Project Lead,Zuid,Applications,2026-01-19,17,,Open
REQ-2355,Finance,Project Lead,Oost,Screened,2025-12-25,28,,Open
REQ-2356,IT & Digital,Engineer,West,Interviewed,2025-11-17,5,,Open
REQ-2357,HR,Manager,West,Interviewed,2026-04-04,16,,Open
REQ-2358,Grid Operations,Manager,West,Applications,2025-12-15,10,,Open
REQ-2359,Safety & Compliance,Project Lead,Oost,Interviewed,2026-01-26,10,,Open
REQ-2360,Safety & Compliance,Project Lead,Centraal,Screened,2026-02-28,22,,Open
REQ-2361,IT & Digital,Analyst,Centraal,Applications,2026-01-15,16,,Open
REQ-2362,Grid Operations,Office Specialist,Zuid,Screened,2026-01-01,29,,Open
REQ-2363,Customer Services,Manager,Zuid,Applications,2026-04-01,20,,Open
REQ-2364,Customer Services,Engineer,Noord,Offer Made,2025-11-30,11,,Open
REQ-2365,Finance,Analyst,Oost,Applications,2026-03-18,18,,Open
REQ-2366,Grid Operations,Analyst,Zuid,Screened,2026-01-28,28,,Open
REQ-2367,Grid Operations,Analyst,Oost,Applications,2026-03-26,6,,Open
REQ-2368,Engineering,Manager,Zuid,Applications,2026-04-29,3,,Open
REQ-2369,Grid Operations,Manager,Noord,Screened,2025-12-19,24,,Open
REQ-2370,Customer Services,Analyst,Noord,Offer Made,2026-02-26,2,,Open
REQ-2371,IT & Digital,Engineer,Noord,Applications,2025-12-14,26,,Open
REQ-2372,Engineering,Project Lead,Zuid,Applications,2026-02-26,12,,Open
REQ-2373,IT & Digital,Field Technician,Zuid,Screened,2025-12-25,23,,Open
REQ-2374,Engineering,Project Lead,West,Applications,2026-02-14,4,,Open
REQ-2375,Finance,Project Lead,Zuid,Applications,2026-02-24,15,,Open
REQ-2376,Engineering,Project Lead,Zuid,Applications,2026-02-20,14,,Open
REQ-2377,Safety & Compliance,Office Specialist,Oost,Applications,2026-04-16,8,,Open
REQ-2378,Engineering,Field Technician,Oost,Applications,2025-11-09,19,,Open
REQ-2379,Customer Services,Office Specialist,Noord,Applications,2026-04-19,18,,Open
REQ-2380,Grid Operations,Analyst,Zuid,Interviewed,2025-11-10,2,,Open
REQ-2381,Safety & Compliance,Analyst,Oost,Applications,2025-11-30,20,,Open
REQ-2382,IT & Digital,Project Lead,Zuid,Interviewed,2026-03-18,25,,Open
REQ-2383,IT & Digital,Engineer,Zuid,Applications,2025-12-15,8,,Open
REQ-2384,IT & Digital,Manager,Zuid,Applications,2026-04-29,17,,Open
REQ-2385,Grid Operations,Analyst,Oost,Interviewed,2026-04-18,6,,Open
REQ-2386,Grid Operations,Office Specialist,Centraal,Interviewed,2025-12-31,19,,Open
REQ-2387,Engineering,Manager,Noord,Applications,2025-12-19,2,,Open
REQ-2388,IT & Digital,Manager,Noord,Applications,2026-03-24,24,,Open
REQ-2389,Asset Management,Analyst,Oost,Interviewed,2026-03-16,1,,Open
REQ-2390,Engineering,Engineer,Centraal,Offer Made,2026-03-06,3,,Open
REQ-2391,HR,Project Lead,Noord,Applications,2026-01-03,20,,Open
REQ-2392,Engineering,Field Technician,Centraal,Applications,2025-12-03,2,,Open
REQ-2393,Finance,Engineer,Centraal,Hired,2026-04-19,6,2026-05-23,Closed
REQ-2394,Finance,Project Lead,Zuid,Hired,2026-03-31,25,2026-05-22,Closed
REQ-2395,Engineering,Project Lead,Noord,Applications,2025-12-16,29,,Open
REQ-2396,IT & Digital,Office Specialist,Noord,Applications,2026-01-29,1,,Open
REQ-2397,Customer Services,Engineer,Noord,Applications,2026-02-13,20,,Open
REQ-2398,HR,Field Technician,West,Screened,2026-03-20,17,,Open
REQ-2399,Asset Management,Field Technician,West,Interviewed,2026-03-14,20,,Open
REQ-2400,Safety & Compliance,Office Specialist,Centraal,Interviewed,2026-04-17,8,,Open
REQ-2401,Grid Operations,Analyst,Centraal,Interviewed,2026-04-11,15,,Open
REQ-2402,Customer Services,Office Specialist,Centraal,Interviewed,2025-11-12,9,,Open
REQ-2403,Customer Services,Engineer,Oost,Interviewed,2026-03-14,13,,Open
REQ-2404,Finance,Office Specialist,Centraal,Offer Made,2026-03-10,9,,Open
REQ-2405,Asset Management,Analyst,Centraal,Applications,2025-12-15,24,,Open
REQ-2406,HR,Manager,Noord,Applications,2026-05-05,10,,Open
REQ-2407,HR,Office Specialist,Noord,Applications,2026-02-04,11,,Open
REQ-2408,IT & Digital,Field Technician,Centraal,Applications,2025-12-15,6,,Open
REQ-2409,Customer Services,Analyst,West,Screened,2026-02-23,7,,Open
REQ-2410,IT & Digital,Field Technician,Oost,Offer Made,2026-04-07,12,,Open
REQ-2411,Finance,Analyst,Oost,Applications,2026-04-04,6,,Open
REQ-2412,Finance,Field Technician,Zuid,Applications,2026-04-08,17,,Open
REQ-2413,Asset Management,Analyst,Noord,Applications,2025-12-09,21,,Open
REQ-2414,Engineering,Engineer,Zuid,Offer Made,2026-01-04,10,,Open
REQ-2415,Grid Operations,Project Lead,Oost,Screened,2026-05-05,11,,Open
REQ-2416,Grid Operations,Field Technician,Noord,Applications,2025-11-23,8,,Open
REQ-2417,IT & Digital,Office Specialist,Zuid,Applications,2025-12-20,27,,Open
REQ-2418,Safety & Compliance,Project Lead,Zuid,Interviewed,2026-02-10,15,,Open
REQ-2419,Customer Services,Field Technician,Oost,Applications,2025-11-13,24,,Open
REQ-2420,IT & Digital,Office Specialist,Oost,Applications,2026-04-14,11,,Open
REQ-2421,Engineering,Analyst,Centraal,Applications,2026-03-31,20,,Open
REQ-2422,Finance,Engineer,Oost,Offer Made,2025-12-05,7,,Open
REQ-2423,Engineering,Project Lead,Zuid,Offer Made,2026-04-26,11,,Open
REQ-2424,Finance,Office Specialist,West,Offer Made,2025-12-31,21,,Open
REQ-2425,HR,Project Lead,Oost,Screened,2026-01-22,5,,Open
REQ-2426,Customer Services,Manager,Zuid,Screened,2025-12-11,24,,Open
REQ-2427,Finance,Engineer,Centraal,Interviewed,2026-02-04,16,,Open
REQ-2428,IT & Digital,Project Lead,Zuid,Screened,2025-12-23,9,,Open
REQ-2429,Safety & Compliance,Office Specialist,Noord,Screened,2025-12-04,24,,Open
REQ-2430,Asset Management,Project Lead,Zuid,Interviewed,2025-11-14,18,,Open
REQ-2431,Customer Services,Field Technician,Noord,Interviewed,2026-01-06,6,,Open
REQ-2432,Engineering,Field Technician,Oost,Applications,2026-03-03,5,,Open
REQ-2433,Customer Services,Manager,Noord,Screened,2025-11-18,25,,Open
REQ-2434,Safety & Compliance,Manager,West,Interviewed,2026-04-26,25,,Open
REQ-2435,Grid Operations,Field Technician,Oost,Applications,2025-12-25,20,,Open
REQ-2436,Asset Management,Office Specialist,West,Applications,2026-01-06,12,,Open
REQ-2437,HR,Engineer,Oost,Applications,2025-12-15,4,,Open
REQ-2438,Safety & Compliance,Office Specialist,Zuid,Hired,2025-11-20,22,2026-01-11,Closed
REQ-2439,Engineering,Engineer,Zuid,Applications,2026-03-29,17,,Open
REQ-2440,Asset Management,Field Technician,Zuid,Screened,2025-12-02,9,,Open
REQ-2441,Grid Operations,Engineer,Zuid,Screened,2026-05-04,29,,Open
REQ-2442,Safety & Compliance,Manager,Zuid,Applications,2026-04-21,6,,Open
REQ-2443,Finance,Office Specialist,West,Applications,2026-04-14,21,,Open
REQ-2444,Finance,Analyst,Oost,Applications,2026-04-09,1,,Open
REQ-2445,Asset Management,Manager,Zuid,Interviewed,2026-02-16,26,,Open
REQ-2446,Engineering,Analyst,Oost,Applications,2026-04-22,12,,Open
REQ-2447,Finance,Field Technician,Noord,Interviewed,2026-04-05,13,,Open
REQ-2448,Safety & Compliance,Field Technician,Oost,Applications,2026-01-17,11,,Open
REQ-2449,Customer Services,Project Lead,Oost,Interviewed,2025-12-04,1,,Open
REQ-2450,Finance,Field Technician,Oost,Applications,2026-03-05,23,,Open
REQ-2451,Grid Operations,Project Lead,Oost,Applications,2026-05-04,28,,Open
REQ-2452,Engineering,Field Technician,Centraal,Applications,2025-12-10,3,,Open
REQ-2453,Engineering,Manager,Centraal,Applications,2026-03-31,19,,Open
REQ-2454,Grid Operations,Field Technician,Centraal,Applications,2025-11-14,17,,Open
REQ-2455,IT & Digital,Manager,Oost,Applications,2025-12-22,28,,Open
REQ-2456,Customer Services,Project Lead,Oost,Offer Made,2026-01-01,2,,Open
REQ-2457,Safety & Compliance,Office Specialist,Noord,Offer Made,2026-04-13,10,,Open
REQ-2458,Safety & Compliance,Project Lead,West,Applications,2025-12-29,26,,Open
REQ-2459,HR,Project Lead,West,Applications,2026-01-26,13,,Open
REQ-2460,Asset Management,Field Technician,West,Applications,2025-11-14,3,,Open
REQ-2461,Grid Operations,Manager,Noord,Screened,2025-11-10,17,,Open
REQ-2462,HR,Project Lead,Noord,Interviewed,2025-12-14,6,,Open
REQ-2463,IT & Digital,Manager,Centraal,Offer Made,2026-04-19,14,,Open
REQ-2464,Engineering,Analyst,Centraal,Offer Made,2026-03-08,1,,Open
REQ-2465,HR,Engineer,West,Interviewed,2025-11-23,28,,Open
REQ-2466,IT & Digital,Office Specialist,West,Applications,2026-01-15,12,,Open
REQ-2467,Asset Management,Engineer,Centraal,Applications,2026-03-29,6,,Open
REQ-2468,HR,Project Lead,Oost,Hired,2026-03-18,1,2026-06-01,Closed
REQ-2469,Grid Operations,Office Specialist,Centraal,Screened,2026-02-13,21,,Open
REQ-2470,Grid Operations,Analyst,Oost,Interviewed,2026-04-27,1,,Open
REQ-2471,Asset Management,Project Lead,West,Applications,2026-02-17,14,,Open
REQ-2472,Engineering,Office Specialist,Oost,Applications,2026-02-16,11,,Open
REQ-2473,Customer Services,Project Lead,Zuid,Screened,2025-12-04,27,,Open
REQ-2474,Asset Management,Project Lead,Centraal,Screened,2025-11-21,1,,Open
REQ-2475,Finance,Manager,Oost,Screened,2026-03-30,29,,Open
REQ-2476,Safety & Compliance,Engineer,Oost,Screened,2026-02-22,2,,Open
REQ-2477,Grid Operations,Manager,Zuid,Interviewed,2026-04-21,11,,Open
REQ-2478,Safety & Compliance,Manager,Zuid,Offer Made,2026-03-29,3,,Open
REQ-2479,Safety & Compliance,Project Lead,Noord,Screened,2026-03-15,23,,Open
